package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
team.duckie.quackquack.ui.sugar.QuackBody1,QuackBody1,1,1,1,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackBody2,QuackBody2,1,1,1,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackBody3,QuackBody3,1,1,1,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackHeadLine1,QuackHeadLine1,1,1,1,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackHeadLine2,QuackHeadLine2,1,1,1,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackLarge1,QuackLarge1,1,1,1,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackSubtitle,QuackSubtitle,1,1,1,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackSubtitle2,QuackSubtitle2,1,1,1,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackTitle1,QuackTitle1,1,1,1,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.sugar.QuackTitle2,QuackTitle2,1,1,1,0,0,0,0,0,1,1,
team.duckie.quackquack.ui.QuackText,QuackText,1,1,1,0,0,0,0,0,4,6,
team.duckie.quackquack.ui.QuackClickableText,QuackClickableText,1,1,1,0,0,0,0,0,1,3,
team.duckie.quackquack.ui.rememberSpanAnnotatedString,rememberSpanAnnotatedString,1,0,0,0,0,0,0,0,1,1,
